user,item,price,quantity
Di,Barney,384.11,47
Jordan,Noman,276.02,14
Carol-Jean,Wu,398.99,11
Sara-Ann,Pearse,232.29,59
Claresta,Cristi,717.94,69
Drucie,Ade,598.25,26
Lynde,Clarissa,146.79,37
Bettine,Fredi,534.66,57
Donetta,Japeth,242.18,99
Lita,Gahl,214.61,59
Glenda,Melony,411.75,94
Anestassia,O'Rourke,237.66,72
Sashenka,Birdella,659.93,40
Edith,Roxanna,352.23,76
Eolanda,Zetta,400.41,59
Christian,Terencio,496.38,88
Diena,Adalbert,727.2,59
Rozele,Gabrielli,139.9,50
Silvana,Joni,225.59,77
Magdalena,Tillford,349.05,32
Bettine,Persse,467.25,60
Angelique,Parette,712.83,51
Aimil,Daegal,386.71,52
Cherrita,Lilas,562.13,79
Beverley,Khorma,786.25,80
Stacey,Brieta,167.13,57
Jeanna,Swanhildas,562.95,58
Rivalee,Vorster,796.56,19
Sharlene,Katrine,534.61,92
Chrystel,Berard,163.35,73
Judy,Fillbert,882.91,80
Clo,Halsey,354.11,56
Vanessa,Lilas,793.99,47
Nannie,Peg,484.13,68
Vita,Baudin,291.71,94
Deloria,Lareena,792.65,27
Vita,Shaddock,448.03,73
Lindie,Dimitris,230.02,75
Gerianna,Brodench,859.08,31
Alyda,Melony,999.71,72
Fina,Dalli,891.9,21
Alexine,Ramona,580.85,93
Codie,Malvino,335.6,39
Olivette,Odysseus,528.19,30
Ellette,Arley,647.93,23
Gerrie,Lauraine,664.66,22
Ekaterina,Japeth,406.62,97
Rivalee,Serilda,941.16,23
Brynna,Hutchison,634.83,44
Loree,Kendrick,516.28,58
Kristina,Durante,452.14,39
Beth,Havens,147.95,58
Ruthe,Garlinda,213.33,95
Caritta,Bonilla,769.36,66
Nanete,Koehler,136.15,77
Charmaine,Abernon,847.68,67
Rani,Judye,1000.75,45
Celestyna,Bury,298.07,60
Jobi,Lia,851.49,76
Nessie,Jefferey,422.83,40
Corina,Joeann,506.59,72
Yolane,Wu,767.81,90
Kalina,Decato,775.1,86
Bee,Carleen,766.45,69
Corry,Durware,979.3,15
Ardenia,Robertson,142.78,74
Trixi,Neva,840.9,15
Dyann,Creamer,996.91,91
Maye,Sisile,941.37,70
Benita,Latini,964.2,49
Viki,Peonir,299.31,63
Tani,Cavan,672.69,26
Fayre,Thunell,731.37,76
Mallory,Ardeha,888.14,90
Elora,Romelda,571.15,41
Yolane,Nadia,917.36,51
Corry,Abbot,585.76,70
Viki,Hanshaw,154.8,47
Adele,Tremayne,661.89,69
Tarra,Lymann,510.09,95
Dyann,Holtz,807.79,48
Bee,Freddi,108.94,30
Jere,Berl,574.95,71
Jemie,Klemperer,591.99,33
Modestia,Olnee,697.56,81
Clarice,Ietta,108.78,66
Nicoli,Justinn,349.41,94
Rosaline,Bandeen,464.18,97
Konstance,Luhe,859.43,56
Olivette,Zamora,712.38,88
Joceline,Viddah,520.02,28
Teddie,Burkle,821.97,93
Laurene,Oneida,755.5,12
Kellen,Lymann,387.77,98
Larine,Corilla,654.32,17
Marjie,Hubert,619.55,14
Willetta,Wittie,123.44,74
Peri,Kevon,357.89,40
Gabi,Dahlia,714.38,94
Hallie,Means,412.58,37
Maud,Penelopa,106.91,78
Ira,Faso,531.94,36
Myriam,Gwenore,182.6,54
Linzy,Gaal,795.96,19
Andeee,Arne,602,41
Briney,Fitzsimmons,934.94,32
Christy,Alcott,716.47,43
Miquela,Mike,453.68,51
Wilma,Ardra,273.39,37
Britte,Sidonius,439.7,16
Dagmar,Leonard,509.14,24
Dode,Carbo,927.87,34
Corina,Eldrid,221.8,56
Shell,Anastatius,553.03,38
Codie,Chem,559.62,36
Candi,Wareing,296.1,11
Brietta,Gower,830.36,78
Christy,Moina,685.38,16
Merry,Kermit,176.5,64
Millie,Naashom,394.14,59
Charlena,Fabiola,174.14,91
Collen,Carey,775.67,34
Maridel,Teddman,817.03,54
Joeann,Tice,539.26,93
